Province 2541 2543 2545 2547 2549 2550 2552 2554 2556 2558
Bangkok 26054 26909 29589 29843 36658 39020 42380 48951 49191 45572
SamutPrakan 18100 15745 19680 19946 20382 21302 23359 23798 29575 25457
Nonthaburi 24211 24566 29119 26658 31152 32743 34626 35120 30664 36884
PathumThani 21793 19282 22838 21530 25143 26107 26686 21616 33461 41057
Ayutthaya 12918 14904 13319 14980 19676 21676 25820 22302 26482 28379
AngThong 10878 12544 11653 12855 18300 17704 25506 21140 28641 23351
LopBuri 10587 10649 11010 15003 19935 16852 22405 17178 23426 22955
SingBuri 10786 11894 14434 14788 18510 20558 25419 26068 28115 26112
ChaiNat 11159 12693 11119 13383 13058 13995 18719 20181 32754 22059
Saraburi 13281 12319 14677 18742 20468 22363 21947 27114 32834 29413
ChonBuri 14075 13807 16797 22286 21869 22260 24052 23007 28367 27257
Rayong 12491 14739 13255 18962 20018 25090 22983 21929 30401 30315
Chanthaburi 15548 11527 15959 15897 20606 18866 19442 24278 27284 36024
Trat 11703 7426 13822 14080 20286 16664 16949 28118 21653 25333
Chachoengsao 14010 13781 14829 16938 16770 20665 21252 23031 34548 27555
PrachinBuri 9852 10477 12720 15032 16031 18263 22548 25338 21039 24166
NakhonNayok 11809 12595 10722 13096 14104 15983 17503 17042 23391 23555
SaKaeo 6958 8355 9951 10777 11577 13593 15525 17781 24805 26953
Ratchaburi 12868 15174 14692 19867 23202 17576 20994 18713 25742 19590
Kanchanaburi 13082 11680 15380 12122 15606 15326 17571 15210 18746 18884
SuphanBuri 12409 13334 12984 15781 14783 15112 15797 15928 17260 15786
NakhonPathom 15178 18297 18674 20701 33835 25447 24989 22955 30856 40347
SamutSakhon 17565 13775 16437 15347 19555 18735 20978 20850 23658 29347
SamutSongkhram 11540 13072 13876 12528 16923 12634 18363 15068 16257 18310
Phetchaburi 14135 12390 15993 13040 15042 17855 17440 20026 21784 26431
PrachuapKhiriKhan 10017 10840 11666 13806 16238 17932 16934 17477 28459 23523
ChiangMai 10349 9243 9582 12586 14904 14386 16141 18323 14393 14950
Lamphun 8722 10231 11328 11843 14361 14104 20048 18778 22505 23834
Lampang 14177 9735 9759 10576 15585 13531 14020 18454 19262 20466
Uttaradit 10044 7270 8581 10940 14220 15001 15865 17602 21344 19239
Phrae 8522 9366 10048 11333 12591 14045 13034 18157 19418 21796
Nan 7387 7334 8130 10751 10590 11407 14624 16249 17598 17886
Phayao 7491 5928 9520 9643 10352 11348 13189 14457 15491 17673
ChiangRai 8924 7930 8369 8920 10495 13736 13278 15034 13510 13497
MaeHongSon 5934 6317 6696 8676 6544 7245 7936 9024 8821 15119
NakhonSawan 9500 7602 9660 10200 14953 15141 17127 21561 24158 21952
UthaiThani 7887 9598 6519 9817 13258 12036 17425 18487 20150 20115
KamphaengPhet 9769 12354 12583 12776 15337 15559 18115 18672 22083 20140
Tak 9423 9674 7763 9549 10963 10791 12453 12936 17020 20079
Sukhothai 10475 7156 8299 11427 13843 12720 15411 18098 24121 22252
Phitsanulok 12068 8965 10637 12751 14117 13364 15779 17474 27490 19235
Phichit 11185 8318 10887 10951 13488 15603 21821 18130 21664 22101
Phetchabun 8051 8435 9548 9572 11323 12914 17096 15678 19918 21337
NakhonRatchasima 9418 8415 9494 11398 13320 14177 19158 19399 22479 26376
BuriRam 8365 8137 7861 8632 9698 10263 13734 17316 15624 18480
Surin 6398 6226 6675 8095 11850 12257 11310 18287 21351 20315
